MQ135_Analog,MQ3_Analog,MiCS5524_Analog,Output,RSL_Hours
349,341,165,1,55
216,223,329,1,80
208,243,162,1,106
171,342,230,1,87
485,708,789,0,11
603,671,512,0,18
111,106,226,1,137
304,339,262,1,47
269,231,347,1,62
789,483,720,0,11
941,495,671,0,13
762,463,666,0,12
728,549,816,0,10
788,674,825,0,8
911,639,618,0,12
310,165,166,1,93
167,249,263,1,106
706,691,804,0,11
159,232,262,1,95
917,433,818,0,13
200,236,165,1,112
316,334,232,1,68
790,581,657,0,13
128,276,298,1,90
877,865,952,0,4
220,206,152,1,103
496,636,750,0,13
350,135,154,1,110
837,598,562,0,16
161,100,350,1,108
147,268,299,1,88
709,667,545,0,14
933,769,838,0,5
202,137,237,1,114
477,922,542,0,13
481,939,776,0,9
180,342,181,1,99
835,526,898,0,9
708,673,575,0,11
611,926,682,0,13
520,650,567,0,14
153,307,336,1,79
535,702,583,0,18
623,672,752,0,11
330,350,125,1,78
776,1006,545,0,9
698,672,770,0,12
333,157,235,1,81
100,302,216,1,104
155,339,241,1,74
982,556,784,0,10
677,726,710,0,11
717,616,543,0,14
618,976,565,0,10
702,555,782,0,9
850,537,701,0,14
102,109,240,1,129
462,672,605,0,13
621,669,544,0,13
340,314,251,1,43
717,905,622,0,11
250,243,290,1,78
228,151,224,1,106
174,258,326,1,79
310,116,227,1,94
710,490,863,0,9
157,260,168,1,108
769,990,719,0,7
503,664,484,0,14
849,543,699,0,14
239,169,256,1,103
295,101,182,1,107
850,665,708,0,9
316,181,108,1,111
504,919,529,0,16
970,537,840,0,7
237,234,118,1,106
130,286,100,1,125
798,552,638,0,10
578,626,639,0,12
199,127,241,1,110
676,870,568,0,10
127,197,287,1,106
201,288,331,1,58
697,581,910,0,9
640,870,748,0,8
619,875,653,0,11
119,194,326,1,99
149,115,176,1,129
551,965,702,0,9
911,406,637,0,12
160,208,246,1,104
100,350,239,1,93
193,266,132,1,107
738,919,759,0,7
1023,640,900,0,6
186,262,182,1,106
350,350,217,1,42
489,1010,654,0,12
296,145,235,1,86
177,127,280,1,103
576,853,490,0,16
278,130,161,1,106
529,954,688,0,10
232,219,148,1,118
170,183,263,1,112
821,801,972,0,3
822,522,900,0,12
771,793,656,0,10
350,328,199,1,62
625,861,683,0,11
532,961,594,0,12
813,664,777,0,11
459,673,697,0,13
539,649,698,0,15
857,501,618,0,10
560,709,623,0,15
997,661,756,0,10
113,255,233,1,111
232,180,270,1,83
335,187,229,1,73
180,158,187,1,123
916,871,796,0,7
127,235,305,1,106
208,265,193,1,99
950,487,904,0,7
137,111,166,1,145
566,939,744,0,8
722,896,795,0,10
255,137,250,1,107
121,257,271,1,111
232,264,170,1,107
158,313,256,1,92
459,865,710,0,9
624,1023,784,0,7
220,220,300,1,72
761,936,655,0,9
592,940,761,0,9
530,992,539,0,13
646,746,585,0,12
130,130,276,1,128
319,220,271,1,61
668,998,734,0,9
136,308,208,1,101
690,713,632,0,14
269,312,149,1,77
753,851,554,0,8
643,879,701,0,12
270,204,262,1,85
877,504,743,0,11
133,219,271,1,103
202,304,132,1,114
616,746,535,0,13
163,121,319,1,103
133,270,214,1,115
992,546,914,0,10
1009,483,726,0,7
1023,504,644,0,11
773,670,692,0,14
695,749,641,0,11
519,796,687,0,13
644,818,515,0,15
159,167,231,1,115
218,150,139,1,135
599,891,636,0,9
186,282,288,1,69
476,642,515,0,15
248,179,170,1,113
302,109,118,1,133
987,975,870,0,2
273,108,317,1,89
283,205,283,1,74
629,838,747,0,7
158,127,129,1,147
882,611,861,0,9
254,324,121,1,89
212,261,122,1,113
883,536,771,0,9
318,300,333,1,33
893,541,839,0,12
307,213,270,1,67
219,135,243,1,104
153,323,304,1,64
312,215,184,1,96
307,261,345,1,61
1023,608,839,0,10
319,255,253,1,74
228,192,318,1,80
257,100,236,1,112
988,942,966,0,0
241,163,100,1,118
186,195,320,1,99
543,814,630,0,12
510,588,592,0,14
158,271,210,1,98
645,987,454,0,14
263,314,235,1,74
172,159,303,1,110
303,343,105,1,83
618,747,772,0,8
258,107,263,1,108
854,686,749,0,10
344,121,227,1,102
308,344,335,1,36
232,100,227,1,122
237,287,122,1,104
894,446,928,0,7
824,564,701,0,10
333,307,290,1,50
825,904,920,0,2
164,119,100,1,161
569,877,772,0,11
294,222,273,1,81
218,191,104,1,120
469,808,545,0,14
1007,1023,950,0,0
631,607,604,0,16
472,678,759,0,14
704,866,757,0,10
934,514,924,0,5
100,139,241,1,130
679,839,663,0,9
111,273,159,1,121
990,609,677,0,9
954,943,797,0,7
573,699,732,0,11
256,283,136,1,97
275,233,221,1,92
967,562,756,0,12
580,661,781,0,14
754,709,656,0,13
130,129,154,1,143
162,223,286,1,100
466,970,558,0,11
252,268,164,1,94
207,282,323,1,59
337,341,168,1,74
319,196,271,1,67
560,835,584,0,16
614,628,581,0,17
151,303,216,1,88
682,782,756,0,11
350,160,208,1,92
760,779,625,0,11
316,236,185,1,72
190,177,307,1,90
324,315,129,1,70
705,400,795,0,13
182,195,186,1,124
225,198,271,1,97
315,206,231,1,88
664,652,591,0,12
143,246,350,1,85
218,278,219,1,91
670,896,546,0,10
502,759,595,0,17
103,263,201,1,122
173,231,232,1,95
288,100,169,1,122
526,845,622,0,14
230,121,112,1,145
350,100,296,1,72
204,198,238,1,100
867,931,983,0,6
164,340,339,1,56
812,480,767,0,10
437,654,497,0,18
558,972,550,0,11
541,865,645,0,10
180,339,287,1,69
242,155,132,1,118
151,142,280,1,109
128,165,118,1,151
576,663,506,0,15
184,117,220,1,134
259,195,313,1,68
871,465,596,0,14
990,400,802,0,11
309,350,189,1,68
217,144,160,1,117
1006,406,738,0,9
629,735,796,0,13
897,546,881,0,11
738,820,809,0,8
208,318,124,1,109
877,890,866,0,4
107,270,316,1,82
480,624,730,0,14
181,106,328,1,112
1023,431,896,0,7
997,492,856,0,10
595,961,620,0,13
438,696,650,0,18
972,400,590,0,16
619,998,735,0,6
902,597,662,0,12
656,625,520,0,14
350,234,270,1,63
333,184,282,1,68
100,196,158,1,134
754,893,531,0,8
278,207,272,1,82
742,646,645,0,13
660,815,531,0,10
722,920,775,0,6
489,735,755,0,15
604,952,736,0,7
232,241,350,1,76
790,411,863,0,9
484,928,684,0,14
504,926,649,0,14
410,621,598,0,14
620,717,764,0,14
1023,492,661,0,12
588,788,598,0,14
348,350,284,1,45
628,627,721,0,11
772,520,729,0,11
571,754,764,0,14
201,287,159,1,112
703,902,455,0,11
318,100,296,1,80
177,303,245,1,97
643,763,773,0,8
107,100,131,1,152
244,217,269,1,78
102,108,311,1,116
240,279,299,1,78
347,180,327,1,57
827,621,555,0,14
793,711,603,0,11
876,502,875,0,11
491,952,497,0,16
548,956,680,0,10
782,748,861,0,8
741,507,748,0,15
328,218,127,1,91
466,701,599,0,17
106,122,265,1,132
617,847,642,0,12
276,165,326,1,66
626,982,610,0,11
781,902,659,0,7
480,928,499,0,13
316,251,198,1,81
833,602,773,0,13
490,667,549,0,18
281,229,253,1,91
930,843,785,0,8
118,191,292,1,98
582,683,523,0,16
165,153,155,1,130
160,270,185,1,103
323,236,339,1,43
141,271,322,1,96
709,896,592,0,11
528,745,595,0,17
533,1018,657,0,12
602,656,601,0,13
718,935,545,0,7
953,721,771,0,7
656,886,756,0,9
710,483,718,0,15
334,167,100,1,120
284,316,106,1,80
196,173,100,1,129
348,216,280,1,53
796,862,779,0,4
140,171,322,1,108
777,400,769,0,15
653,787,619,0,10
939,669,779,0,7
109,315,144,1,114
527,917,609,0,10
243,209,305,1,72
120,350,285,1,73
350,306,112,1,85
329,158,299,1,86
173,154,260,1,104
174,211,206,1,106
298,113,290,1,81
214,280,325,1,68
889,400,841,0,10
679,663,733,0,14
240,101,221,1,112
586,672,634,0,14
308,188,254,1,90
728,865,720,0,7
259,178,164,1,107
310,135,186,1,116
318,246,260,1,72
137,216,304,1,110
718,530,781,0,11
135,295,100,1,126
428,666,788,0,13
239,227,237,1,90
173,202,126,1,125
765,599,898,0,7
237,350,316,1,51
272,135,316,1,87
619,985,583,0,11
213,193,167,1,126
350,176,256,1,64
979,975,847,0,1
155,110,321,1,122
801,642,599,0,14
597,720,749,0,13
702,953,491,0,8
143,319,272,1,90
802,443,625,0,11
706,664,558,0,11
149,181,246,1,110
651,609,833,0,9
100,242,239,1,108
649,930,687,0,10
332,166,104,1,110
851,1023,929,0,1
569,739,766,0,11
310,311,119,1,79
305,350,138,1,75
495,962,685,0,13
631,860,796,0,11
885,745,703,0,9
788,807,666,0,10
453,962,545,0,15
275,223,104,1,101
142,292,157,1,114
299,165,184,1,94
785,849,544,0,13
148,151,169,1,138
193,350,202,1,85
118,344,350,1,71
957,455,860,0,11
721,711,563,0,13
680,672,488,0,16
891,712,726,0,9
590,835,748,0,11
762,419,754,0,11
688,895,738,0,6
285,100,309,1,94
209,346,100,1,95
867,400,768,0,10
745,844,627,0,8
661,788,613,0,10
143,187,193,1,127
254,239,261,1,78
953,887,875,0,1
637,892,490,0,13
625,997,532,0,10
184,312,143,1,108
191,294,114,1,110
316,197,100,1,108
240,303,139,1,85
311,207,314,1,56
929,752,940,0,2
266,233,329,1,57
162,320,302,1,73
194,111,212,1,116
280,204,250,1,72
474,906,787,0,10
123,247,173,1,110
106,303,349,1,75
286,171,339,1,62
456,891,795,0,10
316,229,206,1,81
676,1018,663,0,5
100,316,350,1,71
472,952,578,0,11
282,123,216,1,100
109,286,100,1,119
916,448,686,0,10
470,612,728,0,18
309,312,292,1,56
311,227,150,1,83
962,539,635,0,12
823,787,921,0,5
194,274,100,1,126
296,227,131,1,98
541,697,578,0,14
291,277,149,1,97
706,1023,521,0,8
125,282,179,1,121
626,655,719,0,11
814,420,635,0,17
909,438,831,0,11
608,600,710,0,12
346,184,283,1,72
571,1004,781,0,9
199,108,129,1,138
293,117,116,1,124
217,215,252,1,95
274,324,339,1,38
519,836,591,0,14
127,197,212,1,120
877,469,595,0,14
311,173,242,1,86
1010,620,745,0,6
604,928,467,0,15
1023,797,884,0,2
703,892,794,0,6
407,764,525,0,18
150,213,329,1,97
102,170,100,1,159
185,102,207,1,128
350,134,275,1,68
524,882,798,0,10
324,111,201,1,108
214,229,192,1,107
731,696,655,0,10
909,446,705,0,11
1023,658,615,0,12
322,174,263,1,85
123,256,273,1,102
335,151,100,1,113
298,271,175,1,81
200,206,248,1,90
309,340,296,1,54
885,921,759,0,8
304,155,248,1,83
481,845,570,0,13
326,210,188,1,89
302,203,304,1,73
654,469,698,0,12
348,190,293,1,70
300,150,275,1,81
228,350,285,1,49
925,478,858,0,12
766,935,609,0,6
141,265,302,1,95
608,1023,505,0,9
742,438,721,0,12
322,246,280,1,51
156,280,238,1,85
154,218,201,1,105
563,653,774,0,13
827,914,973,0,5
623,887,553,0,15
519,724,732,0,11
271,263,178,1,84
655,879,803,0,11
971,967,840,0,6
842,600,842,0,11
135,166,288,1,120
709,720,732,0,10
190,234,308,1,74
791,490,805,0,10
125,322,295,1,79
974,1023,952,0,0
866,887,975,0,6
870,689,834,0,8
454,737,784,0,10
326,111,270,1,97
817,531,759,0,12
852,525,627,0,16
647,945,527,0,12
237,244,122,1,119
140,339,132,1,103
639,675,661,0,12
699,638,741,0,15
808,687,644,0,13
606,780,568,0,12
179,344,328,1,58
282,215,238,1,91
514,898,770,0,12
226,317,277,1,63
294,184,315,1,76
121,238,138,1,119
264,350,218,1,61
305,100,314,1,82
332,350,288,1,46
489,909,800,0,12
518,819,777,0,14
115,207,274,1,110
303,246,216,1,85
350,231,151,1,82
634,601,674,0,14
897,500,690,0,13
597,719,717,0,11
324,210,195,1,90
279,100,279,1,100
650,791,583,0,11
748,923,759,0,8
959,420,905,0,8
251,172,306,1,94
340,344,178,1,57
555,705,723,0,16
796,750,569,0,10
563,717,536,0,13
589,1023,700,0,8
323,201,197,1,89
260,263,139,1,87
341,271,190,1,79
184,342,257,1,82
400,874,573,0,13
444,707,658,0,12
139,308,199,1,103
249,231,299,1,67
726,511,852,0,9
891,618,702,0,12
245,286,350,1,47
544,752,602,0,15
496,636,514,0,15
293,172,280,1,76
322,177,138,1,102
519,895,793,0,9
184,336,177,1,91
971,945,944,0,4
190,162,181,1,123
194,208,253,1,97
211,222,350,1,72
241,100,213,1,124
792,836,701,0,10
308,350,272,1,37
129,114,327,1,108
905,458,658,0,13
133,163,156,1,134
638,674,790,0,8
507,903,598,0,11
473,988,505,0,15
188,319,270,1,67
216,159,237,1,115
547,953,737,0,12
678,623,740,0,12
908,883,937,0,7
212,305,317,1,67
755,582,634,0,13
566,631,518,0,14
266,296,221,1,82
242,254,207,1,84
322,259,125,1,89
104,230,101,1,147
450,878,755,0,10
100,178,350,1,96
861,448,843,0,9
728,847,536,0,13
681,767,662,0,13
154,198,342,1,95
786,598,642,0,13
297,183,341,1,69
100,329,275,1,97
291,198,296,1,79
622,611,613,0,16
193,187,217,1,119
350,288,272,1,40
839,1006,820,0,7
809,402,898,0,10
229,269,113,1,120
217,220,129,1,110
311,289,330,1,40
286,111,300,1,99
233,165,309,1,95
716,715,582,0,12
658,669,764,0,14
714,820,695,0,12
553,986,564,0,13
206,203,241,1,104
206,219,133,1,121
1017,499,781,0,10
333,275,350,1,46
539,822,548,0,12
180,277,256,1,80
132,131,288,1,112
850,433,837,0,9
300,165,345,1,79
864,416,632,0,15
525,647,739,0,15
188,280,127,1,115
184,264,226,1,102
553,864,581,0,14
256,263,313,1,66
150,214,291,1,89
965,702,778,0,10
427,738,698,0,15
661,627,645,0,15
100,328,252,1,91
618,882,608,0,10
299,100,195,1,105
129,191,178,1,125
596,999,721,0,10
548,794,695,0,11
177,246,233,1,110
727,971,556,0,11
482,762,597,0,16
670,644,544,0,16
688,712,688,0,11
350,284,235,1,61
199,350,108,1,88
446,870,704,0,10
650,464,813,0,11
303,194,126,1,117
119,219,144,1,122
100,146,305,1,114
581,721,756,0,13
596,653,776,0,13
249,122,303,1,104
1012,648,643,0,8
238,261,275,1,86
133,191,259,1,108
142,303,349,1,77
100,238,125,1,132
222,100,252,1,118
812,622,643,0,11
280,271,199,1,83
879,430,689,0,10
137,205,199,1,124
310,182,184,1,98
294,350,100,1,78
189,323,174,1,102
874,832,818,0,5
996,562,829,0,7
559,954,779,0,10
159,173,235,1,114
565,788,667,0,12
291,114,248,1,107
1009,537,620,0,9
557,717,694,0,16
513,885,739,0,13
822,511,598,0,15
659,888,663,0,9
164,159,176,1,132
333,125,257,1,93
550,1016,647,0,7
202,287,236,1,90
678,563,551,0,15
715,675,500,0,14
762,412,782,0,13
134,164,180,1,144
784,508,764,0,10
958,900,899,0,2
119,148,274,1,128
100,264,350,1,76
677,777,593,0,14
226,206,227,1,96
213,268,164,1,111
632,829,736,0,13
512,1023,655,0,13
176,306,103,1,114
919,1010,947,0,2
726,555,663,0,14
925,410,676,0,11
492,920,769,0,8
865,554,829,0,11
491,959,502,0,13
240,324,121,1,86
217,150,168,1,115
180,285,172,1,92
848,590,662,0,9
945,939,864,0,3
219,315,344,1,66
1023,774,900,0,4
463,949,677,0,11
640,965,575,0,8
305,196,161,1,90
889,706,589,0,8
230,294,350,1,52
589,686,789,0,12
143,265,278,1,94
525,880,770,0,10
134,204,301,1,112
218,330,303,1,69
745,1004,606,0,10
960,658,676,0,10
614,796,489,0,16
590,768,784,0,13
119,292,217,1,104
545,971,564,0,12
721,658,581,0,12
132,226,122,1,141
118,126,318,1,121
130,280,218,1,98
201,232,276,1,100
187,144,239,1,126
121,204,131,1,145
281,186,302,1,76
675,876,604,0,13
678,1003,751,0,5
150,185,151,1,139
709,773,719,0,9
497,599,654,0,16
152,158,247,1,109
847,426,634,0,16
1021,1023,823,0,2
251,226,172,1,93
522,763,474,0,18
600,968,653,0,10
679,696,647,0,12
337,124,172,1,103
636,742,770,0,13
646,822,709,0,9
461,656,781,0,15
676,533,923,0,12
727,556,818,0,14
601,965,679,0,10
987,439,743,0,8
100,175,279,1,126
1023,800,967,0,4
499,887,786,0,8
236,279,301,1,77
533,989,684,0,10
525,967,723,0,8
817,792,870,0,6
100,314,116,1,130
147,229,350,1,81
322,267,122,1,96
698,647,701,0,12
159,275,131,1,110
728,742,703,0,13
661,635,653,0,13
105,183,305,1,116
113,235,122,1,142
516,1014,735,0,12
467,993,665,0,9
1006,648,814,0,9
213,140,290,1,103
191,263,219,1,100
175,144,207,1,122
827,589,642,0,12
128,131,228,1,135
215,133,200,1,130
708,767,570,0,12
336,135,211,1,87
341,330,180,1,68
613,921,585,0,14
704,686,752,0,9
281,341,100,1,81
309,180,244,1,91
968,604,770,0,7
505,1023,596,0,14
316,248,282,1,51
337,196,100,1,98
878,438,698,0,12
482,615,659,0,17
904,862,875,0,2
305,155,275,1,76
350,205,157,1,80
210,204,293,1,88
734,643,808,0,8
222,223,176,1,106
841,869,957,0,2
261,272,109,1,99
966,644,637,0,9
686,469,626,0,13
745,1023,619,0,5
332,100,186,1,99
215,224,288,1,79
664,1023,731,0,8
258,342,136,1,89
729,972,696,0,6
121,169,220,1,127
1023,446,850,0,7
288,323,303,1,38
156,233,171,1,112
843,679,763,0,7
278,236,100,1,114
233,224,167,1,96
186,219,100,1,121
648,670,781,0,14
213,243,269,1,79
190,328,315,1,58
1023,938,829,0,0
514,949,651,0,12
320,179,209,1,86
300,268,278,1,67
562,597,566,0,17
804,545,678,0,15
717,840,757,0,8
317,296,273,1,54
287,142,290,1,93
629,928,612,0,9
154,111,123,1,153
324,100,254,1,91
337,350,277,1,31
275,217,108,1,106
516,783,709,0,12
1009,587,629,0,8
493,593,741,0,14
524,551,604,0,16
297,163,179,1,99
924,989,790,0,7
163,326,333,1,64
328,205,222,1,90
193,278,256,1,86
299,108,301,1,82
201,270,295,1,83
308,260,176,1,88
131,164,350,1,93
832,463,800,0,10
192,226,275,1,83
104,232,344,1,85
794,502,855,0,14
204,296,309,1,77
194,250,304,1,88
231,105,258,1,113
539,795,718,0,12
132,157,176,1,139
1023,510,816,0,11
503,617,571,0,15
484,925,527,0,14
289,206,305,1,76
751,721,758,0,11
238,196,217,1,101
591,1023,643,0,12
736,1007,635,0,5
164,170,178,1,125
325,136,115,1,105
260,306,312,1,52
100,123,211,1,152
105,296,210,1,111
552,943,657,0,11
821,998,1015,0,3
252,179,338,1,73
244,163,249,1,95
176,108,350,1,103
894,873,815,0,7
334,202,269,1,78
240,178,290,1,85
479,845,834,0,8
699,860,639,0,7
1023,574,603,0,8
172,125,155,1,132
661,798,735,0,13
628,752,695,0,10
516,855,488,0,11
621,1013,741,0,9
216,263,206,1,104
493,874,479,0,15
625,990,658,0,12
350,306,319,1,37
302,321,305,1,36
242,314,319,1,62
1023,490,826,0,9
155,226,350,1,95
713,681,786,0,11
116,113,326,1,127
1023,902,913,0,0
222,194,261,1,93
299,154,335,1,75
243,102,257,1,109
739,806,544,0,14
260,260,312,1,75
598,737,771,0,10
541,954,713,0,11
621,656,597,0,13
860,412,633,0,17
690,896,584,0,13
313,282,316,1,45
745,697,727,0,12
208,240,281,1,74
271,244,330,1,70
246,265,334,1,71
722,509,817,0,14
988,702,810,0,5
218,126,330,1,97
122,100,300,1,123
282,137,230,1,104
660,790,631,0,14
137,305,218,1,95
456,901,531,0,16
461,1007,540,0,11
868,400,813,0,14
629,734,738,0,12
517,659,602,0,18
647,906,496,0,12
100,269,129,1,141
1019,566,881,0,7
133,176,164,1,140
193,234,112,1,115
328,328,301,1,44
165,100,199,1,145
286,108,309,1,80
602,1019,701,0,8
130,350,316,1,81
155,279,145,1,122
196,110,235,1,121
572,650,592,0,15
282,119,218,1,99
841,659,638,0,12
153,136,143,1,151
800,1023,901,0,3
981,908,798,0,2
1023,718,748,0,5
799,617,877,0,10
616,898,800,0,6
856,883,929,0,2
297,114,286,1,94
143,293,233,1,106
279,289,242,1,74
143,326,346,1,70
882,687,730,0,10
751,855,801,0,6
553,971,730,0,9
983,615,752,0,8
425,850,831,0,12
106,216,228,1,109
849,719,900,0,6
677,641,475,0,14
598,895,715,0,11
238,149,254,1,112
942,798,930,0,7
539,633,844,0,15
543,913,677,0,10
718,813,574,0,11
694,897,712,0,11
313,108,246,1,91
465,869,768,0,12
862,823,919,0,6
187,350,167,1,94
624,1020,666,0,11
237,205,301,1,75
326,242,100,1,103
119,100,122,1,165
761,672,898,0,8
228,318,324,1,57
976,484,640,0,9
692,979,707,0,11
281,104,324,1,91
154,198,266,1,98
635,786,673,0,13
123,100,182,1,143
779,775,908,0,9
181,281,315,1,82
753,505,601,0,17
539,935,746,0,8
269,314,139,1,96
312,146,297,1,79
215,100,164,1,124
307,350,333,1,36
204,160,133,1,128
861,700,1009,0,4
120,262,100,1,137
111,121,295,1,123
941,627,792,0,9
268,247,167,1,88
701,688,594,0,16
320,209,332,1,53
345,123,327,1,67
105,172,312,1,117
104,168,345,1,107
799,635,707,0,8
220,148,222,1,101
562,973,648,0,9
185,106,166,1,143
736,930,576,0,8
764,899,585,0,13
769,932,623,0,9
964,531,637,0,11
497,900,556,0,12
846,654,593,0,11
259,314,172,1,85
540,1023,595,0,12
959,1023,970,0,2
302,125,130,1,114
499,617,570,0,18
193,157,107,1,140
975,675,882,0,7
825,574,681,0,10
585,921,749,0,7
883,486,790,0,8
100,230,296,1,114
618,826,629,0,14
239,159,247,1,92
198,241,255,1,93
637,862,596,0,11
952,875,895,0,1
530,920,659,0,8
224,254,225,1,100
269,258,137,1,110
246,323,205,1,69
339,304,163,1,67
215,333,315,1,71
198,219,100,1,131
302,324,293,1,47
172,151,350,1,93
244,236,328,1,74
309,198,224,1,82
327,262,173,1,75
207,274,254,1,95
180,162,115,1,141
135,220,297,1,90
332,284,106,1,97
709,859,722,0,6
595,759,846,0,11
667,971,582,0,13
344,299,331,1,39
128,255,249,1,110
135,181,210,1,120
691,509,866,0,13
300,167,309,1,81
256,131,299,1,99
609,1023,712,0,8
237,234,322,1,62
266,268,183,1,86
126,298,168,1,100
763,437,581,0,16
1023,400,679,0,14
405,821,725,0,12
453,827,693,0,14
267,328,182,1,76
273,191,220,1,99
548,908,634,0,12
485,934,715,0,8
325,347,128,1,81
811,719,676,0,9
264,127,227,1,99
750,661,635,0,10
165,134,311,1,104
768,599,663,0,11
493,816,735,0,14
226,217,313,1,92
878,483,764,0,13
323,180,334,1,58
844,973,778,0,4
677,865,665,0,11
215,350,142,1,100
647,702,724,0,14
220,233,299,1,71
231,159,272,1,106
758,890,614,0,11
215,119,226,1,111
958,614,818,0,6
746,617,761,0,8
893,590,750,0,8
291,234,350,1,59
182,138,130,1,140
762,657,827,0,13
128,348,350,1,60
805,564,708,0,12
936,824,905,0,4
281,106,101,1,120
350,167,341,1,60
662,682,527,0,16
778,538,787,0,13
143,227,350,1,92
709,894,527,0,9
530,753,707,0,11
150,105,230,1,130
228,292,218,1,73
553,659,648,0,12
216,317,150,1,98
468,718,567,0,18
591,1013,617,0,10
611,870,710,0,9
194,234,207,1,104
158,169,350,1,106
204,172,122,1,118
916,1023,949,0,0
759,468,627,0,17
310,170,173,1,93
918,462,625,0,11
267,265,207,1,92
717,799,677,0,9
237,150,224,1,100
268,201,212,1,106
129,271,273,1,107
542,890,627,0,9
314,210,193,1,82
305,319,143,1,75
710,909,603,0,10
314,231,251,1,80
328,121,328,1,77
117,308,292,1,82
179,315,144,1,110
694,636,633,0,15
343,213,348,1,50
987,490,680,0,8
666,927,634,0,12
140,243,215,1,120
439,787,678,0,13
690,400,803,0,14
243,286,195,1,88
219,120,300,1,98
822,867,963,0,7
318,294,172,1,84
589,822,791,0,12
328,100,135,1,126
788,694,772,0,10
592,870,603,0,9
200,191,281,1,89
526,762,524,0,13
688,708,545,0,12
969,662,841,0,10
930,872,977,0,2
350,294,296,1,41
100,253,312,1,107
464,955,776,0,13
750,659,579,0,15
544,653,647,0,16
329,273,193,1,63
531,719,507,0,13
653,576,655,0,12
516,886,727,0,9
127,131,222,1,131
149,274,157,1,124
318,203,159,1,102
765,937,544,0,11
673,692,546,0,12
100,149,100,1,155
345,130,151,1,98
987,903,929,0,2
701,727,761,0,9
267,148,234,1,89
118,227,168,1,120
570,651,614,0,16
845,400,943,0,11
229,144,219,1,104
222,143,235,1,112
242,173,334,1,80
948,545,749,0,8
789,681,876,0,10
292,255,350,1,64
259,146,246,1,104
832,447,671,0,16
501,756,795,0,10
546,635,689,0,16
921,712,674,0,9
259,264,198,1,81
233,152,243,1,99
988,723,952,0,3
638,903,678,0,11
488,892,572,0,11
249,305,332,1,64
753,764,704,0,13
734,678,568,0,14
223,110,297,1,113
575,872,636,0,13
699,715,672,0,14
350,151,100,1,112
530,919,630,0,14
411,978,778,0,11
960,850,833,0,7
820,463,742,0,14
207,206,350,1,89
924,604,802,0,11
923,525,820,0,10
271,350,118,1,90
879,607,818,0,8
748,703,653,0,9
166,148,285,1,112
898,937,839,0,7
841,676,713,0,9
246,112,233,1,121
100,238,350,1,88
141,216,255,1,116
323,272,154,1,77
